step,time,loss,acc
17000,2025-08-20T03:17:47.002846,2.660141e-03,1.000000e+00
17050,2025-08-20T03:19:41.907065,2.848445e-02,9.921875e-01
17100,2025-08-20T03:19:51.356779,6.910703e-03,1.000000e+00
17150,2025-08-20T03:20:00.749833,1.300995e-02,9.921875e-01
17200,2025-08-20T03:20:10.044134,5.054002e-03,1.000000e+00
17250,2025-08-20T03:20:19.202746,3.497454e-03,1.000000e+00
17300,2025-08-20T03:20:28.406726,3.219042e-03,1.000000e+00
17350,2025-08-20T03:20:37.733901,5.842960e-03,1.000000e+00
17400,2025-08-20T03:20:47.277097,4.065687e-03,1.000000e+00
17450,2025-08-20T03:20:56.637784,5.632350e-02,9.921875e-01
17500,2025-08-20T03:21:05.829455,3.658436e-03,1.000000e+00
17550,2025-08-20T03:23:00.305038,3.370471e-03,1.000000e+00
17600,2025-08-20T03:23:09.450667,9.592352e-03,1.000000e+00
17650,2025-08-20T03:23:18.681074,8.668398e-03,1.000000e+00
17700,2025-08-20T03:23:28.097251,6.668615e-02,9.843750e-01
17750,2025-08-20T03:23:37.642318,3.429358e-03,1.000000e+00
17800,2025-08-20T03:23:46.720548,4.410491e-02,9.921875e-01
17850,2025-08-20T03:23:55.957344,2.865707e-02,9.921875e-01
17900,2025-08-20T03:24:05.383187,6.821516e-03,1.000000e+00
17950,2025-08-20T03:24:14.689902,5.764138e-03,1.000000e+00
18000,2025-08-20T03:24:24.141997,1.039225e-02,9.921875e-01
18050,2025-08-20T03:26:18.610137,6.362150e-03,1.000000e+00
18100,2025-08-20T03:26:27.874666,1.253438e-02,9.921875e-01
18150,2025-08-20T03:26:37.019820,4.006374e-02,9.843750e-01
18200,2025-08-20T03:26:46.183926,4.405282e-03,1.000000e+00
18250,2025-08-20T03:26:55.507409,3.601479e-02,9.921875e-01
18300,2025-08-20T03:27:04.887533,6.926809e-03,1.000000e+00
18350,2025-08-20T03:27:14.280981,6.396685e-03,1.000000e+00
18400,2025-08-20T03:27:23.590344,1.839492e-02,9.921875e-01
18450,2025-08-20T03:27:32.816087,2.811123e-02,9.921875e-01
18500,2025-08-20T03:27:42.040389,6.227771e-03,1.000000e+00
18550,2025-08-20T03:29:36.489259,3.890924e-02,9.921875e-01
18600,2025-08-20T03:29:45.940458,8.070530e-03,1.000000e+00
18650,2025-08-20T03:29:55.494454,4.220070e-03,1.000000e+00
18700,2025-08-20T03:30:04.888698,1.915770e-02,9.921875e-01
18750,2025-08-20T03:30:14.063446,4.036941e-03,1.000000e+00
18800,2025-08-20T03:30:23.297287,6.071193e-03,1.000000e+00
18850,2025-08-20T03:30:32.688465,1.058075e-01,9.843750e-01
18900,2025-08-20T03:30:42.152171,5.550191e-03,1.000000e+00
18950,2025-08-20T03:30:51.510829,2.628416e-02,9.921875e-01
19000,2025-08-20T03:31:00.672496,1.120185e-01,9.765625e-01
19050,2025-08-20T03:32:55.319004,5.601021e-02,9.921875e-01
19100,2025-08-20T03:33:04.490600,5.658847e-02,9.843750e-01
19150,2025-08-20T03:33:13.811977,5.482656e-02,9.843750e-01
19200,2025-08-20T03:33:23.282801,4.177090e-02,9.843750e-01
19250,2025-08-20T03:33:32.690701,3.756925e-02,9.921875e-01
19300,2025-08-20T03:33:41.852067,7.645064e-03,1.000000e+00
19350,2025-08-20T03:33:51.022409,1.172131e-02,9.921875e-01
19400,2025-08-20T03:34:00.206680,8.734833e-03,9.921875e-01
19450,2025-08-20T03:34:09.614314,6.368520e-03,1.000000e+00
19500,2025-08-20T03:34:19.045454,3.523418e-02,9.921875e-01
19550,2025-08-20T03:36:13.702440,3.278197e-03,1.000000e+00
19600,2025-08-20T03:36:23.056916,3.747351e-02,9.843750e-01
19650,2025-08-20T03:36:32.197576,9.705408e-03,1.000000e+00
19700,2025-08-20T03:36:41.368290,4.669627e-03,1.000000e+00
19750,2025-08-20T03:36:50.717232,9.635226e-03,1.000000e+00
19800,2025-08-20T03:37:00.146858,3.270925e-03,1.000000e+00
19850,2025-08-20T03:37:09.517903,4.208670e-03,1.000000e+00
19900,2025-08-20T03:37:18.868920,1.152888e-01,9.843750e-01
19950,2025-08-20T03:37:28.075263,4.563118e-02,9.843750e-01
